,Title,Country,Location,Year,Total_Floors,Apart_Floors,Apart_Rooms,Total_Area,Price,Continent,C-Code,Price_category,Time_Period
1,"4 room apartment 245 m² in Yesiloez, Turkey",Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",2007,2,3,5,245,274415.0,Europe,5,Middle price,2000-2010
4,"2 room apartment 54 m² in Prague, Czech Republic",Czech Republic,"Prague, Czech Republic",2023,4,2,4,54,314990.0,Europe,5,Middle price,2010on
6,"3 room apartment 72 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",1955,4,4,3,72,122000.0,Europe,5,Middle price,1950-2000
7,"3 room apartment 100 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2013,16,2,3,100,159000.0,Europe,5,Middle price,2010on
16,"1 room apartment 55 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2021,6,2,2,55,314122.0,Europe,5,Middle price,2010on
17,"1 room studio apartment 23 m² in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",2021,8,1,1,23,44993.0,Asia,3,Low price,2010on
21,"3 room apartment 105 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2023,12,12,4,105,290210.0,Europe,5,Middle price,2010on
26,"1 room studio apartment 43 m² in Mirzo Ulugbek district, Uzbekistan",Uzbekistan,"Mirzo Ulugbek district, Shaykhontohur Tumani, Uzbekistan",2024,9,3,1,43,92767.0,Asia,3,Low price,2010on
28,"2 room apartment 93 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2020,4,4,3,93,248071.0,Europe,5,Middle price,2010on
30,"1 room studio apartment 43 m² in Mirzo Ulugbek district, Uzbekistan",Uzbekistan,"Mirzo Ulugbek district, Shaykhontohur Tumani, Uzbekistan",2024,7,4,1,43,92767.0,Asia,3,Low price,2010on
31,"2 room apartment 130 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2014,9,8,1,130,294511.0,Europe,5,Middle price,2010on
34,"3 room apartment 97 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2023,4,3,3,97,244559.0,Europe,5,Middle price,2010on
40,"Multilevel apartments 2 bedrooms 130 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2015,4,1,1,130,288793.0,Europe,5,Middle price,2010on
43,"1 room apartment 94 m² in Becici, Montenegro",Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",2018,7,2,2,94,332057.0,Europe,5,Middle price,2010on
50,"Multilevel apartments 3 bedrooms 220 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2013,4,4,1,220,338143.0,Europe,5,Middle price,2010on
55,"4 room apartment 193 m² in Gazipasa, Turkey",Turkey,"Mediterranean Region, Gazipasa, Turkey",2023,7,6,4,193,182604.0,Europe,5,Middle price,2010on
60,"2 room apartment 45 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2009,5,2,3,45,310861.0,Europe,5,Middle price,2000-2010
