,title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_total_area,price_in_USD,Continent
3,"1 room apartment 28 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2026,,,1.0,28.0,35622.0,Asia
7,"Penthouse 1 bedroom 96 m² in Kyrenia, Northern Cyprus",Northern Cyprus,"Kyrenia, Girne (Kyrenia) District, Northern Cyprus",2027,1.0,,2.0,96.0,199268.0,Europe
77,"2 room apartment 92 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,1.0,2.0,92.0,286406.0,Europe
115,"1 room apartment 70 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",2025,14.0,,2.0,70.0,241298.0,Europe
142,"1 room apartment 76 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Chilanzar District, Uzbekistan",2025,11.0,8.0,2.0,76.0,90021.0,Asia
149,"1 room apartment 63 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,15.0,,2.0,63.0,266297.0,Europe
190,"2 room apartment 68 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2025,12.0,2.0,3.0,68.0,76242.0,Asia
305,"2 room apartment 67 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2025,12.0,12.0,3.0,67.0,71246.0,Asia
350,"2 room apartment 125 m² in Muratpasa, Turkey",Turkey,"Muratpasa, Mediterranean Region, Turkey",2025,5.0,,3.0,125.0,294148.0,Europe
381,"1 room apartment 73 m² in Ishakli, Turkey",Turkey,"Ishakli, Mediterranean Region, Alanya, Turkey",2025,,,2.0,73.0,317383.0,Europe
479,"1 room apartment 50 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2025,8.0,4.0,2.0,50.0,197410.0,Europe
546,"2 room apartment 112 m² in Mezitli, Turkey",Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",2025,14.0,,3.0,112.0,166300.0,Europe
562,"1 room apartment 72 m² in Yesilkoey, Turkey",Turkey,"Yesilkoey, Mediterranean Region, Antalya, Turkey",2025,8.0,,2.0,72.0,161000.0,Europe
639,"1 room apartment 60 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,4.0,1.0,1.0,60.0,174939.0,Europe
744,"6 room apartment 46 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2025,,1.0,6.0,46.0,180430.0,Europe
952,"2 room apartment 77 m² in Antalya, Turkey",Turkey,"Mediterranean Region, Antalya, Turkey",2025,10.0,,3.0,77.0,131518.0,Europe
974,"1 room apartment 48 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",2025,4.0,1.0,,48.0,219431.0,Europe
1001,"2 room apartment 86 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,5.0,,3.0,86.0,255428.0,Europe
1095,"5 room apartment 52 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,,1.0,5.0,52.0,183691.0,Europe
1190,"3 room apartment 56 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2025,,1.0,3.0,56.0,135866.0,Europe
1214,"3 room apartment 122 m² in Kartal, Turkey",Turkey,"Kartal, Marmara Region, Turkey",2025,22.0,1.0,4.0,122.0,240000.0,Europe
1297,"Penthouse 2 bedrooms 121 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2025,6.0,5.0,3.0,121.0,206516.0,Europe
1300,"2 room apartment 91 m² in Antalya, Turkey",Turkey,"Mediterranean Region, Antalya, Turkey",2025,9.0,,3.0,91.0,190212.0,Europe
1317,"1 room apartment 60 m² in Yaylali, Turkey",Turkey,"Yaylali, Mediterranean Region, Alanya, Turkey",2025,,,2.0,60.0,195647.0,Europe
1380,"1 room apartment 42 m² in Koyunlar, Turkey",Turkey,"Koyunlar, Mediterranean Region, Antalya, Turkey",2025,6.0,,2.0,42.0,140214.0,Europe
1382,"1 room apartment 50 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2025,6.0,,2.0,50.0,124997.0,Europe
1582,"1 room apartment 42 m² in Payallar, Turkey",Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",2025,8.0,,2.0,42.0,124997.0,Europe
1653,"1 room apartment 72 m² in Mezitli, Turkey",Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",2025,13.0,,2.0,72.0,92389.0,Europe
1690,"1 room apartment 49 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,5.0,,2.0,49.0,120649.0,Europe
1706,"1 room apartment 45 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2025,14.0,,2.0,45.0,68476.0,Europe
1750,"1 room apartment 54 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2025,8.0,,2.0,54.0,58806.0,Europe
1757,"2 room apartment 138 m² in Ciftepinar, Turkey",Turkey,"Ciftepinar, Mediterranean Region, Erdemli, Turkey",2025,15.0,,3.0,138.0,110867.0,Europe
1928,"1 room apartment 50 m² in Coerues, Turkey",Turkey,"Coerues, Mediterranean Region, Gazipasa, Turkey",2025,7.0,,2.0,50.0,111954.0,Europe
1950,"3 room apartment 82 m² in Erdemli, Turkey",Turkey,"Mediterranean Region, Erdemli, Turkey",2025,,1.0,3.0,82.0,110867.0,Europe
2123,"1 room apartment 59 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2025,5.0,1.0,2.0,59.0,196088.0,Europe
2172,"2 room apartment 74 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,5.0,,3.0,74.0,179343.0,Europe
2255,"1 room apartment 65 m² in Izmit, Turkey",Turkey,"Marmara Region, Izmit, Turkey",2025,6.0,3.0,2.0,65.0,90268.0,Europe
